fixture_id,date,timestamp,timezone,referee,status_short,status_long,elapsed_time,league_id,league_name,country,season,round,home_team_id,home_team_name,home_team_winner,away_team_id,away_team_name,away_team_winner,goals_home,goals_away,score_ht_home,score_ht_away,score_ft_home,score_ft_away,score_et_home,score_et_away,score_pen_home,score_pen_away,venue_name,venue_city
1472516,2025-11-12T17:45:00+00:00,1762969500,UTC,"Riem Hussein, Germany",FT,Match Finished,90,525,UEFA Champions League Women,World,2025,League Stage - 3,1918,Barcelona W,True,1790,OH Leuven W,False,3,0,1,0,3,0,,,,,Estadi Johan Cruyff,Barcelona
1482368,2025-11-12T17:45:00+00:00,1762969500,UTC,,FT,Match Finished,90,1191,UEFA Europa Cup - Women,World,2025,Round of 16,10925,Sparta Praha W,False,17367,Young Boys W,True,0,3,0,0,0,3,,,,,epet ARENA,Prague
1366921,2025-11-12T18:00:00+00:00,1762970400,UTC,,FT,Match Finished,90,893,UEFA U19 Championship - Qualification,World,2026,Qualifying Round - 1,10377,Republic of Ireland U19,False,10367,Kazakhstan U19,True,0,1,0,0,0,1,,,,,,
1366922,2025-11-12T18:00:00+00:00,1762970400,UTC,,FT,Match Finished,90,893,UEFA U19 Championship - Qualification,World,2026,Qualifying Round - 1,10360,Cyprus U19,False,10340,Netherlands U19,True,0,7,0,2,0,7,,,,,,
1482362,2025-11-12T18:00:00+00:00,1762970400,UTC,,FT,Match Finished,90,1191,UEFA Europa Cup - Women,World,2025,Round of 16,10914,Breidablik W,False,10890,Fortuna Hjørring,True,0,1,0,0,0,1,,,,,,
1482366,2025-11-12T18:00:00+00:00,1762970400,UTC,,FT,Match Finished,90,1191,UEFA Europa Cup - Women,World,2025,Round of 16,1895,PSV/Eindhoven W,False,14014,Eintracht Frankfurt W,True,1,2,1,0,1,2,,,,,De Herdgang,Eindhoven
1482367,2025-11-12T18:00:00+00:00,1762970400,UTC,,FT,Match Finished,90,1191,UEFA Europa Cup - Women,World,2025,Round of 16,1792,Anderlecht W,False,17575,Austria Wien W,True,0,1,0,0,0,1,,,,,KMSK Deinze,Deinze
1485622,2025-11-12T18:00:00+00:00,1762970400,UTC,,FT,Match Finished,90,617,Copa do Brasil U20,Brazil,2025,Quarter-finals,12981,América Mineiro U20,True,25212,Paysandu PA U20,False,1,0,0,0,1,0,,,,,,
1485624,2025-11-12T18:00:00+00:00,1762970400,UTC,,FT,Match Finished,90,617,Copa do Brasil U20,Brazil,2025,Quarter-finals,12952,Atlético Mineiro U20,,12971,Sport Recife U20,,1,1,0,1,1,1,,,,,,
1486086,2025-11-12T18:00:00+00:00,1762970400,UTC,,FT,Match Finished,90,1158,Copa Gaúcha,Brazil,2025,Quarter-finals,25225,Juventude II,False,141,Brasil DE Pelotas,True,1,2,0,1,1,2,,,,,,
